Total_carbon_emissions,CSR_board_size,Indirect_carbon_emissions,Disclosure_scores,Controversy_level,Disclosure_of_R&D,Renewal_energy,Environmental_scores,Climate_change_policy,Waste_management,Planning_zero_carbon,Issue_green_bonds,Direct_carbon_emissions,MSCI_ESG_index,CSR_commitee,Water_treatment,Scope3_carbon_emissions,Biodiversity,Net_zero_targets,Govt_collaboration,ESG_funds,GHG_sales,Recycling,SDG_targets,Dow_jones_sustainability_index,Energy_conservation,Risk_score
0.0,0,0.0,34.08,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,93,45.81,0,3,1,0,0.0
103.27,4,41.65,58.0,3,1,1,42.49,1,1,0,0,61.62,3,1,1,482.24,0,1,1,1041,10.45,1,1,1,1,21.05
26.59,0,21.54,43.01,2,1,0,23.01,0,1,0,0,5.05,3,0,0,47.07,0,0,0,977,1.48,0,1,1,1,20.57
0.0,0,0.0,16.36,0,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,489,0.78,0,3,1,0,25.7
0.0,0,0.0,32.46,1,0,0,1.27,0,0,0,0,0.0,3,0,1,0.0,0,1,0,680,1.6,0,1,1,1,18.77
1131.0,0,896.0,42.47,4,0,0,23.32,1,1,0,0,235.0,3,0,1,0.0,1,1,1,246,25.86,0,3,1,1,34.68
0.0,0,0.0,41.15,0,0,0,4.05,1,0,0,0,0.0,0,0,0,0.0,0,0,0,145,56.97,0,3,1,1,0.0
0.0,0,0.0,32.07,3,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,1,0,957,0.15,0,1,1,0,22.33
0.0,0,16.75,32.94,2,1,0,3.65,0,1,0,0,0.0,3,0,0,92.03,0,1,0,370,3.09,0,3,1,1,16.49
348.27,4,289.34,54.14,2,1,0,25.58,0,1,0,0,58.93,3,1,1,0.0,1,1,0,676,69.32,0,1,1,1,13.44
94.95,0,60.87,60.49,2,0,1,52.94,1,1,1,0,34.08,3,0,1,0.0,0,1,1,758,5.18,1,3,1,1,26.33
0.0,0,0.0,31.95,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,136,7.03,0,1,1,0,21.71
374.4,0,130.6,54.02,2,0,0,35.7,0,1,0,0,243.8,3,0,1,63.8,1,1,0,1166,7.49,1,3,1,1,22.83
0.0,3,0.0,37.82,3,0,0,14.38,0,0,0,0,0.0,3,1,0,0.0,0,0,0,786,12.65,0,3,1,0,22.41
0.0,0,0.0,31.4,1,1,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,169,8.98,0,1,1,0,31.6
0.0,0,0.0,32.31,2,0,0,0.0,1,0,0,0,0.0,3,0,0,0.0,0,0,0,495,21.53,0,1,1,0,16.22
0.0,0,0.0,47.58,1,0,0,21.78,0,0,0,0,0.0,3,0,0,0.0,0,0,0,749,1.65,0,2,1,0,20.17
0.0,0,0.0,31.58,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,65,16.16,0,1,1,0,16.76
687.42,0,259.86,60.99,2,0,0,49.62,1,1,0,0,427.56,3,0,1,9.74,1,0,0,700,96.58,1,3,1,1,22.56
0.0,0,0.0,31.49,0,0,0,0.33,0,0,0,0,0.0,0,0,0,0.0,0,0,0,74,31.99,0,1,1,0,0.0
184.44,0,172.87,49.11,4,0,0,29.9,1,1,0,0,11.57,3,0,1,0.0,1,0,0,663,4.75,0,3,1,1,22.62
369.0,0,220.0,53.16,3,1,0,29.75,0,1,0,0,149.0,3,0,1,20.0,0,0,1,763,4.19,1,3,1,1,12.28
0.0,0,0.0,34.66,1,0,0,2.08,0,1,0,0,0.0,3,0,1,0.0,0,1,0,545,6.28,0,1,1,1,11.97
0.0,0,0.0,0.0,0,1,0,0.0,1,0,0,0,0.0,3,0,0,0.0,0,0,0,695,0.0,0,3,1,0,0.0
0.0,0,0.0,31.19,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,311,6.61,0,1,1,0,13.09
